quality,grade,thickness_mm,width_mm,description_i18n,finish_i18n,composition,supplier,additional_info,material_id,coating,length_mm
2nd,C100S,2.28,1039.0,{'de': 'Sollmasse (Gewicht) unterschritten'},"{'de': 'ungebeizt, nicht geglüht'}","{'AG': 0.0, 'Al': 0.006, 'Ars': 0.002, 'B': 0.0002, 'C': 1.01, 'Ca': 0.0004, 'Cr': 0.17, 'S': 0.0011, 'Cu': 0.01, 'Mn': 0.412, 'Mo': 0.015, 'N': 0.0037, 'Nb': 0.002, 'Ni': 0.024, 'P': 0.0102, 'Si': 0.219, 'Sn': 0.003, 'STA': 0, 'Ti': 0.00232, 'V': 0.002, 'Zr': 0.002}",source1,"{'RP02': 0.0, 'RM': 0.0}",337be1224032e6d5bf031f3ebcb0fb71,,
2nd,C100S,2.28,1037.0,{'de': 'Sollmasse (Gewicht) unterschritten'},"{'de': 'ungebeizt, nicht geglüht'}","{'AG': 0.0, 'Al': 0.004, 'Ars': 0.002, 'B': 0.0002, 'C': 1.03, 'Ca': 0.0005, 'Cr': 0.171, 'S': 0.0015, 'Cu': 0.009, 'Mn': 0.405, 'Mo': 0.007, 'N': 0.0035, 'Nb': 0.002, 'Ni': 0.013, 'P': 0.0105, 'Si': 0.226, 'Sn': 0.005, 'STA': 0, 'Ti': 0.00264, 'V': 0.003, 'Zr': 0.002}",source1,"{'RP02': 0.0, 'RM': 0.0}",c0338ef4e13733853966c92f9fb237dd,,
2nd,C100S,2.28,1037.0,{'de': 'Sollmasse (Gewicht) unterschritten'},"{'de': 'ungebeizt, nicht geglüht'}","{'AG': 0.0, 'Al': 0.004, 'Ars': 0.002, 'B': 0.0002, 'C': 1.03, 'Ca': 0.0005, 'Cr': 0.171, 'S': 0.0015, 'Cu': 0.009, 'Mn': 0.405, 'Mo': 0.007, 'N': 0.0035, 'Nb': 0.002, 'Ni': 0.013, 'P': 0.0105, 'Si': 0.226, 'Sn': 0.005, 'STA': 0, 'Ti': 0.00264, 'V': 0.003, 'Zr': 0.002}",source1,"{'RP02': 0.0, 'RM': 0.0}",c0338ef4e13733853966c92f9fb237dd,,
2nd,C100S,2.28,1038.0,{'de': 'Sollmasse (Gewicht) unterschritten'},"{'de': 'ungebeizt, nicht geglüht'}","{'AG': 0.0, 'Al': 0.006, 'Ars': 0.002, 'B': 0.0002, 'C': 1.0, 'Ca': 0.0005, 'Cr': 0.183, 'S': 0.0011, 'Cu': 0.01, 'Mn': 0.428, 'Mo': 0.029, 'N': 0.004, 'Nb': 0.002, 'Ni': 0.038, 'P': 0.0094, 'Si': 0.236, 'Sn': 0.002, 'STA': 0, 'Ti': 0.00216, 'V': 0.004, 'Zr': 0.002}",source1,"{'RP02': 0.0, 'RM': 0.0}",5772a1025e64585f8deb44a3f56b59c7,,
2nd,C100S,2.28,1038.0,{'de': 'Sollmasse (Gewicht) unterschritten'},"{'de': 'ungebeizt, nicht geglüht'}","{'AG': 0.0, 'Al': 0.006, 'Ars': 0.002, 'B': 0.0002, 'C': 1.0, 'Ca': 0.0005, 'Cr': 0.183, 'S': 0.0011, 'Cu': 0.01, 'Mn': 0.428, 'Mo': 0.029, 'N': 0.004, 'Nb': 0.002, 'Ni': 0.038, 'P': 0.0094, 'Si': 0.236, 'Sn': 0.002, 'STA': 0, 'Ti': 0.00216, 'V': 0.004, 'Zr': 0.002}",source1,"{'RP02': 0.0, 'RM': 0.0}",5772a1025e64585f8deb44a3f56b59c7,,
2nd,C100S,2.28,1036.0,{'de': 'Sollmasse (Gewicht) unterschritten'},"{'de': 'ungebeizt, nicht geglüht'}","{'AG': 0.0, 'Al': 0.004, 'Ars': 0.002, 'B': 0.0002, 'C': 1.03, 'Ca': 0.0005, 'Cr': 0.171, 'S': 0.0015, 'Cu': 0.009, 'Mn': 0.405, 'Mo': 0.007, 'N': 0.0035, 'Nb': 0.002, 'Ni': 0.013, 'P': 0.0105, 'Si': 0.226, 'Sn': 0.005, 'STA': 0, 'Ti': 0.00264, 'V': 0.003, 'Zr': 0.002}",source1,"{'RP02': 0.0, 'RM': 0.0}",b986d33ebbdabcf19bbab8251cf6ea12,,
2nd,C100S,2.28,1037.0,{'de': 'Sollmasse (Gewicht) unterschritten'},"{'de': 'ungebeizt, nicht geglüht'}","{'AG': 0.0, 'Al': 0.004, 'Ars': 0.002, 'B': 0.0002, 'C': 1.03, 'Ca': 0.0005, 'Cr': 0.171, 'S': 0.0015, 'Cu': 0.009, 'Mn': 0.405, 'Mo': 0.007, 'N': 0.0035, 'Nb': 0.002, 'Ni': 0.013, 'P': 0.0105, 'Si': 0.226, 'Sn': 0.005, 'STA': 0, 'Ti': 0.00264, 'V': 0.003, 'Zr': 0.002}",source1,"{'RP02': 0.0, 'RM': 0.0}",c0338ef4e13733853966c92f9fb237dd,,
2nd,C100S,2.28,1037.0,{'de': 'Sollmasse (Gewicht) unterschritten'},"{'de': 'ungebeizt, nicht geglüht'}","{'AG': 0.0, 'Al': 0.006, 'Ars': 0.002, 'B': 0.0002, 'C': 1.0, 'Ca': 0.0005, 'Cr': 0.183, 'S': 0.0011, 'Cu': 0.01, 'Mn': 0.428, 'Mo': 0.029, 'N': 0.004, 'Nb': 0.002, 'Ni': 0.038, 'P': 0.0094, 'Si': 0.236, 'Sn': 0.002, 'STA': 0, 'Ti': 0.00216, 'V': 0.004, 'Zr': 0.002}",source1,"{'RP02': 0.0, 'RM': 0.0}",62abde7977bd44592346ae87ce251091,,
2nd,C100S,2.28,1037.0,{'de': 'Sollmasse (Gewicht) unterschritten'},"{'de': 'ungebeizt, nicht geglüht'}","{'AG': 0.0, 'Al': 0.006, 'Ars': 0.002, 'B': 0.0002, 'C': 1.01, 'Ca': 0.0004, 'Cr': 0.17, 'S': 0.0011, 'Cu': 0.01, 'Mn': 0.412, 'Mo': 0.015, 'N': 0.0037, 'Nb': 0.002, 'Ni': 0.024, 'P': 0.0102, 'Si': 0.219, 'Sn': 0.003, 'STA': 0, 'Ti': 0.00232, 'V': 0.002, 'Zr': 0.002}",source1,"{'RP02': 0.0, 'RM': 0.0}",a569ea6ca7b521ffa2c0b2b52032ca03,,
2nd,C100S,2.28,1038.0,{'de': 'Sollmasse (Gewicht) unterschritten'},"{'de': 'ungebeizt, nicht geglüht'}","{'AG': 0.0, 'Al': 0.006, 'Ars': 0.002, 'B': 0.0002, 'C': 1.0, 'Ca': 0.0005, 'Cr': 0.183, 'S': 0.0011, 'Cu': 0.01, 'Mn': 0.428, 'Mo': 0.029, 'N': 0.004, 'Nb': 0.002, 'Ni': 0.038, 'P': 0.0094, 'Si': 0.236, 'Sn': 0.002, 'STA': 0, 'Ti': 0.00216, 'V': 0.004, 'Zr': 0.002}",source1,"{'RP02': 0.0, 'RM': 0.0}",5772a1025e64585f8deb44a3f56b59c7,,
